IP,PORTA,STATUS,SERVIÇO,VERSÃO
172.217.21.174,0,FECHADA,Fortnite,N/D
172.217.21.174,1,FECHADA,tcpmux,N/D
172.217.21.174,5,FECHADA,rje,N/D
172.217.21.174,7,FECHADA,echo,N/D
172.217.21.174,9,FECHADA,descard,N/D
172.217.21.174,11,FECHADA,systat,N/D
172.217.21.174,13,FECHADA,daytime,N/D
172.217.21.174,17,FECHADA,qotd,N/D
172.217.21.174,18,FECHADA,message send protocol,N/D
172.217.21.174,19,FECHADA,chargen protocol,N/D
172.217.21.174,20,FECHADA,ftp,N/D
172.217.21.174,21,FECHADA,ftp,N/D
172.217.21.174,22,FECHADA,ssh,N/D
172.217.21.174,23,FECHADA,telnet,N/D
172.217.21.174,25,FECHADA,smtp,N/D
172.217.21.174,26,FECHADA,rsftp,N/D
172.217.21.174,35,FECHADA,qms magicolor 2 printer,N/D
172.217.21.174,37,FECHADA,time protocol,N/D
172.217.21.174,38,FECHADA,route access protocol,N/D
172.217.21.174,39,FECHADA,resource location protocol,N/D
172.217.21.174,41,FECHADA,graphics do lol,N/D
172.217.21.174,42,FECHADA,host name server,N/D
172.217.21.174,43,FECHADA,whois,N/D
172.217.21.174,49,FECHADA,tacacs,N/D
172.217.21.174,53,FECHADA,dns,N/D
172.217.21.174,57,FECHADA,mtp,N/D
172.217.21.174,67,FECHADA,bootp,N/D
172.217.21.174,68,FECHADA,bootp,N/D
172.217.21.174,69,FECHADA,tftp,N/D
172.217.21.174,70,FECHADA,gopher,N/D
172.217.21.174,79,FECHADA,finger protocol,N/D
172.217.21.174,80,ABERTA,http,
172.217.21.174,81,FECHADA,torpark onion routing,N/D
172.217.21.174,82,FECHADA,torpark control park,N/D
172.217.21.174,88,FECHADA,kerberos,N/D
172.217.21.174,101,FECHADA,hostname,N/D
172.217.21.174,102,FECHADA,iso-tsap,N/D
172.217.21.174,107,FECHADA,remote telnet service,N/D
172.217.21.174,109,FECHADA,pop,N/D
172.217.21.174,110,FECHADA,pop3,N/D
172.217.21.174,111,FECHADA,rpc,N/D
172.217.21.174,113,FECHADA,ident,N/D
172.217.21.174,115,FECHADA,sftp,N/D
172.217.21.174,117,FECHADA,uucp-path,N/D
172.217.21.174,118,FECHADA,sql services,N/D
172.217.21.174,119,FECHADA,nntp,N/D
172.217.21.174,123,FECHADA,ntp,N/D
172.217.21.174,135,FECHADA,epmap,N/D
172.217.21.174,137,FECHADA,netbios,N/D
172.217.21.174,138,FECHADA,netbios,N/D
172.217.21.174,139,FECHADA,netbios,N/D
172.217.21.174,143,FECHADA,imap4,N/D
172.217.21.174,152,FECHADA,bftp,N/D
172.217.21.174,153,FECHADA,sgmp,N/D
172.217.21.174,156,FECHADA,sql,N/D
172.217.21.174,158,FECHADA,dmsp,N/D
172.217.21.174,161,FECHADA,snmp,N/D
172.217.21.174,162,FECHADA,snmptrap,N/D
172.217.21.174,443,FECHADA,https,N/D
172.217.21.174,3306,FECHADA,MySql System,N/D
172.217.21.174,8080,FECHADA,http,N/D
